Transaction_ID,Customer_ID,Amount,Date,Status,Branch_ID,Branch_Name,City,Payment_Mode,Merchant_Name,Product_Category
87df22dc457d9d3654dbbf3105ec4cdd,208d3b81a3f28b01e957743bf4a8dbb9,971.48,2023-11-01,Failed,JAY120,Jayanagar,Bangalore,Debit,Merchant_81,Health
e8a832cf70e2e64d1e6d49bc3911c476,cdbdccffe795de8adc497ffbc8a52107,884.53,2023-12-05,Successful,JAY796,Jayanagar,Bangalore,Net Banking,Merchant_12,Health
311eb33949e950a00e93bcfa40ffe86a,c9b9dfe30a8b52e50dfb83ca328eaa8a,39.56,2023-09-17,Successful,JAY790,Jayanagar,Bangalore,Net Banking,Merchant_1,Health
a49468427e631c5c1057dcade25af7aa,8d01aac8b1683685dce1a4f7623384e3,838.53,2023-01-05,Successful,JAY278,Jayanagar,Bangalore,Credit,Merchant_6,Clothing
390d32942a8bcc44df36751f12cd35bf,3f9e8a4cae8abdfcab69dc284127efd4,214.34,2023-11-17,Failed,JAY254,Jayanagar,Bangalore,Debit,Merchant_32,Clothing
032b39cbd7031b8300630885edc6b38f,43cc0ae6fe67c0726c57899e5fdd82ca,527.48,2023-07-29,Failed,JAY288,Jayanagar,Bangalore,UPI,Merchant_93,Groceries
fc18ee6fd9c0b39e6dd5c6992d513005,24b9bb66960ef18d369578bef1abee8f,35.71,2023-08-25,Failed,JAY516,Jayanagar,Bangalore,Credit,Merchant_23,Groceries
066717815756ae94523c4eafc9b02f79,da5815962a8ccd32949bf8258e621026,665.25,2023-02-09,Failed,JAY709,Jayanagar,Bangalore,Debit,Merchant_10,Clothing
68904124b8be8d3e3e5ec4f2be4550f6,29740fbca8c46b73122c812ef28921ce,416.89,2023-02-28,Successful,JAY277,Jayanagar,Bangalore,Debit,Merchant_2,Groceries
323fd417afe8d31392a07c05be06fa10,bbacb4004ccae3f8f969b73db70d511c,149.36,2023-01-01,Failed,JAY526,Jayanagar,Bangalore,UPI,Merchant_50,Groceries
6615a384d8e050f00101534bac6fabb8,805a177ff7f21eda8fc50e8aad3d6e3b,699.85,2023-07-25,Successful,JAY681,Jayanagar,Bangalore,Debit,Merchant_51,Clothing
702b9c5c65f2787ffc5e30ef63b5dafc,916371ef57b3ade122c6e3c2601ef981,671.09,2023-02-18,Successful,JAY346,Jayanagar,Bangalore,Debit,Merchant_63,Electronics
4a461167df305c6c9b6708a845760199,dbde0b48d0492edb00be08b10fb66f30,420.89,2023-10-31,Failed,JAY479,Jayanagar,Bangalore,Credit,Merchant_49,Health
d490064dde46652547cc5f60f88d29c7,264358f2cc54255b66db73a3e2127097,605.84,2023-10-08,Successful,JAY789,Jayanagar,Bangalore,Net Banking,Merchant_87,Electronics
831e38a16a4f1f95b6aae2d3831354f4,8e3ec2c82acba00840dd13d98bf60c76,230.99,2023-10-27,Failed,JAY530,Jayanagar,Bangalore,UPI,Merchant_2,Groceries
c4cc731bff4714ea5ed173c8b7ca468f,d27a152684877bacc23252536e2e1a60,951.44,2023-08-11,Successful,JAY461,Jayanagar,Bangalore,Debit,Merchant_23,Electronics
bb6400d07ddf60aa8512ab45e4c19b55,2419dd37fed23fab8f81f8ea1ed288fb,239.06,2023-05-25,Failed,JAY247,Jayanagar,Bangalore,Debit,Merchant_73,Groceries
67de7d2abcae2c74af4b9437a231970f,c4fb70c93a80ca7b19f86bed2747fb00,394.35,2023-08-04,Successful,JAY483,Jayanagar,Bangalore,Net Banking,Merchant_59,Groceries
c0c1186aa9bb3a06d7930a5b033b0d55,647cf56284cb6434a23adc797f4c3072,827.76,2023-01-01,Successful,JAY389,Jayanagar,Bangalore,Net Banking,Merchant_52,Groceries
8ff0545b407d2143c1fb0cb1aafaab6f,0486d507b4c2e78ce1ce404977c1b891,421.67,2023-06-13,Failed,JAY851,Jayanagar,Bangalore,Debit,Merchant_18,Health
65585998023f5bfca45eed7b75f02dc5,562d56cbd619a2742a38030e57e66e4c,259.05,2023-07-02,Successful,JAY586,Jayanagar,Bangalore,Net Banking,Merchant_15,Health
45ce0aacfb54ecdbfa73129da81bc42d,723ee888bc91ccaa6a64b047aa46e284,606.35,2023-12-01,Successful,JAY169,Jayanagar,Bangalore,Net Banking,Merchant_22,Health
10e79143c75bfb2b32ce5ee91dbca433,2ef22739036a0392b188877cb440acf0,423.86,2023-09-10,Failed,JAY661,Jayanagar,Bangalore,Debit,Merchant_3,Health
4578197a1011725c6ac06faeabef056b,7a5ca9e633d00fd3297ceb87368eda45,884.11,2023-03-19,Failed,JAY308,Jayanagar,Bangalore,UPI,Merchant_6,Health
b4634901986553911b6306737584852e,fb751601c33172f15925e27323196120,392.09,2023-09-25,Failed,JAY326,Jayanagar,Bangalore,UPI,Merchant_97,Electronics
308fb0b0a3b96a34e158aa2f40e67058,5a41165bf24d06cfc930fbca3ac57d80,620.34,2023-10-15,Failed,JAY141,Jayanagar,Bangalore,Net Banking,Merchant_59,Electronics
2599f1458c12abda4b84bb964b074581,82e92ae7dc59f73cc8d7920f83490b5f,720.74,2023-04-09,Failed,JAY393,Jayanagar,Bangalore,UPI,Merchant_28,Clothing
bc8ac5f2a134d9ebfe5a7dfe0433a8b5,161665c6133100d3885240a9209dea7e,636.46,2023-03-15,Failed,JAY756,Jayanagar,Bangalore,Debit,Merchant_36,Electronics
46b07de720c70c372491284e418fe3a4,14eb81b039ba1461f63b1b0d772330af,477.87,2023-01-10,Failed,JAY494,Jayanagar,Bangalore,Debit,Merchant_59,Clothing
9c56dd9e95e02b03828dbe3c55d252f9,487fe894735e43a15afc4272d100f2b5,312.43,2023-12-06,Successful,JAY775,Jayanagar,Bangalore,Debit,Merchant_51,Health
4d0c0f20992aea8fe38239adaa4228a8,af29e0f3a1b95eccf462a62a3e8d03f5,765.4,2023-01-31,Failed,JAY130,Jayanagar,Bangalore,Debit,Merchant_13,Health
a0b6335eb5ba948c388f4b967ad5db85,d04f254088ea807ea2481b3c3c41524e,478.96,2023-01-02,Successful,JAY332,Jayanagar,Bangalore,Debit,Merchant_66,Groceries
f86800df9bfb3c11dbd9379f434234ae,7b4a192a232f849bf76be7a4390351ed,357.28,2023-03-23,Successful,JAY113,Jayanagar,Bangalore,Net Banking,Merchant_77,Health
a1194fcd5bc33c1b5f8b65cb56179f9a,49bcc4b238271af74a1ed76c7a00c88d,499.06,2023-05-18,Failed,JAY706,Jayanagar,Bangalore,Debit,Merchant_63,Health
76d14fd20c262b8afbcfc5711b1729ec,db39fb0c46aade8ee774af456d29dc85,366.19,2023-08-03,Failed,JAY110,Jayanagar,Bangalore,UPI,Merchant_17,Groceries
2947af858ca87fdbd958e861d47fe21b,7ae5169b9f8925fd308c74f582d4f740,644.88,2023-04-08,Successful,JAY267,Jayanagar,Bangalore,UPI,Merchant_20,Clothing
e34efbd0e8a633258dff144534e5ddd8,50d827f6b84d47bc5d7c4a66a0184e5f,740.23,2023-12-08,Successful,JAY587,Jayanagar,Bangalore,UPI,Merchant_53,Groceries
363f162bf6da0ddc90d04d145b0db670,26a2ecb7d0c8b49890bc899b4534457c,799.26,2023-01-17,Failed,JAY273,Jayanagar,Bangalore,Credit,Merchant_70,Health
ef1d3d8897e45345f656de7e65ac9285,61dcabcdecca573b919852fe7bcde8ff,609.87,2023-09-04,Successful,JAY586,Jayanagar,Bangalore,Debit,Merchant_80,Groceries
87f0b5b8dafe4c81ba775c7465c404ff,55a4ef001b18c0a09f27e57ab43e14ff,370.9,2023-01-03,Failed,JAY175,Jayanagar,Bangalore,Debit,Merchant_40,Electronics
cf05444b13f5dca48e9796590018326f,d00a5d6dc2314ea9cdb2e3e3cb961521,55.36,2023-08-27,Successful,JAY568,Jayanagar,Bangalore,Net Banking,Merchant_63,Health
e809ae706d684f5ac502d4ad6407ebae,c0cafe7754442dc7a32ff02ad786a7ab,132.26,2023-12-29,Failed,JAY565,Jayanagar,Bangalore,Credit,Merchant_7,Clothing
5ce013e6bb2911c4f39fdc3142a60030,d1e31a612d2af9b9031c36a8b4dd26f2,587.97,2023-02-09,Successful,JAY874,Jayanagar,Bangalore,UPI,Merchant_38,Electronics
07e2b2ac8a0451d4a1be9692cebffeb1,0e6f1bd90a27de7c89acfe7a9690a329,900.76,2023-10-21,Successful,JAY642,Jayanagar,Bangalore,Net Banking,Merchant_82,Health
ed83120c1f379d86bdcb535fb3e63c9c,bbe4713ca1221caab8cd72f800a72f3e,654.81,2023-12-23,Failed,JAY453,Jayanagar,Bangalore,Credit,Merchant_32,Electronics
612182bfa683c177403e7080e9932f13,2a61e09587b9b03013ddebabd640290f,742.95,2023-10-30,Successful,JAY277,Jayanagar,Bangalore,Debit,Merchant_71,Health
280c2a2442cf5c790284e4ffc95b1d27,30861328e275c781ad8d52c40b81368f,259.21,2023-09-28,Successful,JAY775,Jayanagar,Bangalore,UPI,Merchant_83,Electronics
380f9da393ed96cab95a3e7226334db4,07c60466e022a32a415a428683c7b560,754.46,2023-07-08,Successful,JAY201,Jayanagar,Bangalore,UPI,Merchant_98,Health
59a10283af1b0a984e0364b4125692fe,a29712fae50c130aace7ff9e786a086a,734.39,2023-07-03,Successful,JAY337,Jayanagar,Bangalore,UPI,Merchant_93,Health
bd6c25c46e518fbca6f070e458de223f,de5b2b8385d60690bab31266d266815e,980.8,2023-01-10,Successful,JAY121,Jayanagar,Bangalore,Debit,Merchant_88,Groceries
356b0ed0ee70457eba04f5c3e6350cb4,ba5e07fb214881917fbe06327936a257,363.18,2023-11-19,Failed,JAY540,Jayanagar,Bangalore,Debit,Merchant_16,Electronics
212987bb19cb9c8556050d127a8e4b6f,dab92a07d33e6a1915102c470680b5df,167.49,2023-11-26,Successful,JAY389,Jayanagar,Bangalore,UPI,Merchant_88,Groceries
20db6049d482c3bf432ff210f3ef6411,e2e66ecd93d7351871d323da2ffba3a9,780.76,2023-02-12,Failed,JAY540,Jayanagar,Bangalore,Debit,Merchant_30,Health
36d6c3076d30d4465e52532282d82bfd,7621e14836fc3b54a300c437ec542932,204.44,2023-02-14,Successful,JAY366,Jayanagar,Bangalore,Net Banking,Merchant_39,Clothing
5e69a03e874381360c31a205fab0b5d3,5b0245430abddd5224a45abb88522926,305.38,2023-02-12,Successful,JAY903,Jayanagar,Bangalore,Debit,Merchant_70,Clothing
599a2468ab199f93ad119dcc33c09ad8,22d76694facf9ef364dbe91d0cec7946,653.97,2023-07-08,Successful,JAY666,Jayanagar,Bangalore,Debit,Merchant_17,Groceries
9fdf2b42c03e47efc41719dc04f163b5,e7cfb924f579c827c54cf4032eabe1ff,715.46,2023-12-02,Successful,JAY622,Jayanagar,Bangalore,Credit,Merchant_92,Clothing
cabce5311c437735d6d5785eb0f9254f,378f6372b03ef497008a9091e0356a0d,111.75,2023-10-08,Failed,JAY140,Jayanagar,Bangalore,Net Banking,Merchant_97,Health
f3b055a209d4e81eaef449fdde448936,5a6223ad5c282edd75c167e634bbc935,725.89,2023-04-26,Successful,JAY741,Jayanagar,Bangalore,UPI,Merchant_39,Groceries
528ac3b1bf8d76eb66e939f99986de80,d481b6914447db26269a7f2336b1db49,124.91,2023-01-30,Successful,JAY264,Jayanagar,Bangalore,Credit,Merchant_15,Clothing
fbd807db6b9c67aca6a2ddebe87a0dcd,c958e1afb0fc629b28b3c5d31939184f,540.89,2023-02-25,Failed,JAY692,Jayanagar,Bangalore,Credit,Merchant_1,Clothing
2c297f15074d56137cb5467e48cfd4ae,1a7b4f48be53432a4702609c25bfe251,281.3,2023-09-21,Failed,JAY426,Jayanagar,Bangalore,Credit,Merchant_1,Clothing
d98f00ae62e9177f35af7305547e0825,2ca66bdfd3f08a945c87327e47b695d7,201.86,2023-06-06,Failed,JAY663,Jayanagar,Bangalore,Net Banking,Merchant_52,Clothing
9dc2c2c30a2b97ea0ebec9605d62fd67,0ea57811107cc538b97152755de18c7b,549.28,2023-04-20,Successful,JAY250,Jayanagar,Bangalore,Net Banking,Merchant_76,Electronics
dd4f7b9b63753bba9c6dbd3ce3fe3545,11d74dc764c1947c1553f6b7915cfb1c,723.8,2023-01-01,Successful,JAY431,Jayanagar,Bangalore,UPI,Merchant_94,Electronics
